Result Log

Run 1
8325	2.120	0.042	11.853	12
8400	2.227	0.041	11.880	12
8475	2.213	0.041	12.000	12
8550	2.147	0.040	12.013	13
8625	2.573	0.041	12.533	13
8700	2.573	0.039	12.853	13
8775	2.453	0.040	13.000	13
8850	2.347	0.039	13.000	13
8925	2.427	0.039	12.960	13
9000	2.427	0.038	13.000	13
9075	2.387	0.038	12.880	13
9150	2.493	0.037	12.733	13
9225	2.587	0.037	12.880	13
9300	2.747	0.037	12.987	13
9375	2.680	0.038	12.827	13
9450	2.680	0.037	13.000	13
9525	2.787	0.034	12.747	13
9600	2.747	0.033	12.747	13
9675	2.853	0.033	13.000	13
9750	2.907	0.034	12.760	13
9825	3.080	0.034	13.000	13
9900	3.187	0.033	12.973	13
9975	3.147	0.032	13.000	13
10050	3.120	0.031	12.827	13

Run 2
150	3.013	0.120	3.280	5
225	3.027	0.120	4.587	5
300	3.067	0.121	4.707	8
375	3.187	0.121	6.173	8
450	3.187	0.121	7.947	8
525	3.133	0.123	7.853	8
600	3.280	0.123	8.000	8
675	3.347	0.123	8.000	8
750	3.213	0.124	8.000	8
825	2.947	0.123	7.880	8
900	3.400	0.119	8.000	8
975	3.267	0.115	7.773	8
1050	3.493	0.115	7.893	8
1125	3.467	0.117	8.000	8
1200	3.507	0.114	8.000	8
1275	3.467	0.115	7.893	9
1350	2.747	0.104	8.667	9
1425	2.440	0.103	8.880	9
1500	2.347	0.103	9.000	9
1575	2.440	0.104	8.613	9
1650	2.507	0.104	9.000	9
1725	2.760	0.100	9.000	9
1800	2.853	0.101	9.000	9
1875	2.520	0.101	8.960	9
1950	2.573	0.102	9.000	9
2025	2.400	0.104	8.907	9
2100	2.493	0.106	8.960	9
2175	2.613	0.110	9.000	9
2250	2.787	0.108	8.933	9
2325	2.787	0.110	8.987	9
2400	2.787	0.111	9.000	9
2475	2.893	0.110	9.000	9
2550	2.840	0.110	8.933	9
2625	2.960	0.108	8.893	9
2700	3.160	0.112	8.880	9
2775	3.280	0.114	8.880	9
2850	3.213	0.110	9.013	10
2925	3.107	0.108	9.320	10
3000	3.053	0.108	9.907	10
3075	3.133	0.105	9.507	10
3150	3.240	0.102	9.920	10
3225	3.027	0.104	10.000	10
3300	3.133	0.104	9.880	13
3375	3.093	0.103	11.573	13
3450	2.947	0.100	13.000	13
3525	2.987	0.100	12.973	13
3600	2.933	0.098	12.973	13
3675	2.893	0.100	13.053	17
3750	2.760	0.090	15.160	17
3825	2.787	0.085	16.493	17
3900	2.787	0.087	17.000	17
3975	2.853	0.088	16.907	17
4050	2.973	0.087	17.000	17
4125	2.907	0.086	16.733	17
4200	2.733	0.083	17.000	17
4275	2.507	0.080	17.000	17
4350	2.520	0.078	16.840	17
4425	2.627	0.077	16.827	17
4500	2.680	0.079	16.773	17
4575	2.600	0.080	16.840	17
4650	2.773	0.082	17.000	17
4725	2.787	0.080	17.000	17
4800	2.920	0.080	16.560	17
4875	2.920	0.082	17.000	17
4950	2.827	0.082	16.787	17
5025	2.867	0.080	17.000	17
5100	2.867	0.081	16.920	17
5175	2.920	0.081	16.987	17
5250	3.013	0.079	16.333	17
5325	3.040	0.076	16.867	17
5400	2.813	0.077	16.973	17
5475	3.067	0.075	16.773	17
5550	2.987	0.073	16.853	17
5625	3.067	0.075	16.747	17
5700	3.067	0.075	17.000	17
5775	3.107	0.074	16.787	17
5850	2.893	0.076	16.773	17
5925	2.720	0.072	17.000	17
6000	2.347	0.077	16.933	17
6075	2.387	0.074	17.000	17
6150	2.067	0.079	16.947	18
6225	1.133	0.080	17.440	18
6300	0.840	0.081	18.000	18
6375	0.933	0.083	17.587	18
6450	1.133	0.082	18.000	18
6525	1.347	0.083	18.000	18
6600	1.507	0.081	17.840	18
6675	1.467	0.083	17.360	18
6750	1.627	0.084	17.760	18
6825	1.573	0.086	18.040	21
6900	2.920	0.083	19.160	21
6975	3.840	0.084	20.773	21
7050	3.787	0.085	21.000	21
7125	3.693	0.086	21.000	21
7200	3.560	0.089	21.000	21
7275	3.573	0.087	20.920	21
7350	3.707	0.087	21.000	21
7425	3.773	0.084	20.893	21
7500	3.813	0.085	20.613	21
7575	3.600	0.085	21.000	21
7650	3.640	0.085	21.000	21
7725	3.547	0.086	20.907	21
7800	3.640	0.089	20.267	21
7875	3.693	0.084	21.000	21
